cousin;[ ˈkʌzn ];кузен
green;[griːn];зеленый
book;[bʊk];книга
cook;[kʊk];повар
hook;[hʊk];крюк
wood;[wʊd];лес,роща
big;[bɪg];большой
little;[lɪtl];маленький
bench;[benʧ];лавка
chimp;[ʧɪmp];обезьяна
chick;[ʧɪk];ципленок
cherry;[ˈʧerɪ];вишня
match;[mæʧ];спичка
good;[gʊd];хороший
bad;[bæd];плохой
sad;[sæd];грустный
happy;[ˈhæpɪ];счастливый
funny;[ˈfʌnɪ];смешной
car;[kɑː];машина
star;[stɑː];звезда
park;[pɑːk];парк
door;[dɔː];дверь
queen;[kwiːn];королева
quilt;[kwɪlt];стеганое одеяло
horse;[hɔːs];лошадь
floor;[flɔː];пол
mum;[mʌm];мама
dad;[dæd];папа
granny; [ˈɡræn.i] ;бабуля
grandad;[ˈgrændæd];дедушка
I;[aɪ];Я
he;[hiː];он
she;[ʃiː];она
it;[ɪt];это
plane;[pleɪn];самолет
lake;[leɪk];озеро
game;[geɪm];игры
cake;[keɪk];торт
Eve;;Ева
Lena;;Лена
Pete;;Пит
sit;[sɪt];сидеть
rose;[rəʊz];роза
stone;[stəʊn];камень
bone;[bəʊn];кость
phone;[fəʊn];телефон
boat;[bəʊt];лодка
coat;[kəʊt];пальто
old;[əʊld];старый
cold;[kəʊld];холодно
thread;[θred];нить
count;[kaʊnt];рассчитывать
handler;[ˈhænd.lər];укротитель, обработчик, манипулятор
check;[tʃek];проверка, контроль
availability;[əˌveɪ.ləˈbɪl.ɪ.ti];наличие, пригодность
fill;[fɪl];заполнять,наполнять,занимать
width; [ wɪdθ ];  ширина, широта, расстояние
height; [ haɪt ] ;высота, рост, вершина
choose;[tʃuːz];выбирать,хотеть,избирать
choice;[tʃɔɪs];выбор,отбор,альтернатива
brick;[brɪk];кирпич,брусок,клинкер
weight;[weɪt];вес, масса, груз
request;[rɪˈkwest];запрос, просьба, требование
query;[ˈkwɪə.ri];запрос, вопрос, сомнение
Bottom;[ˈbɒtəm];дно, низ, основание
Button;[ˈbʌtn];кнопка, пуговица, бутон
movement;[ˈmuːvmənt];движение, перемещение, передвижение
survey;[ˈsɜːveɪ];обзор, обследование, исследование
equal;[ˈiː.kwəl];равняться,быть равным, приравнивать
negro;[ˈniː.ɡrəʊ];негр, чернокожий, негритянка
been;[biːn];было
walk;[wɔːk];ходить, идти, гулять
wich;;которым
harmony;[ˈhɑː.mə.ni];гармония, согласие, стройность
soul;[səʊl];душа, дух, человек
pleasure;[ˈpleʒə(r)];удовольствие, наслаждение, воля
felt;[felt];войлок, фетр
astronomer;[əˈstrɒn.ə.mər];астроном
who;[huː];кто, который, те, кто
discover;[dɪˈskʌv.ər];обнаруженный, открытый
yet;[jet];еще, все же, тем не менее
suddenly;[ˈsʌdənli];вдруг, внезапно, скоропостижно
stop;[stɒp];остановится,остановившийся
whistle;[ˈwɪs.l̩];свист
stranger;[ˈstreɪndʒə(r)];незнакомец, чужой, чужак
before;[bɪˈfɔː(r)];до, прежде чем
large;[lɑːdʒ];большой,больше
stood;[stʊd];стоять, баллотироваться, постоять
shout;[ʃaʊt];кричать, накричать, покричать
noise;[nɔɪz];шум, звук, помеха
behind;[bɪˈhaɪnd];за, позади, сзади
turn;[tɜːn];повернутый, перевернутый, перелицованный
quickly;[ˈkwɪkli];быстро, скоро, срочно
caught;[kɔːt];пойманный
forget;[fə(r)ˈɡɒt];забыл
mouth;[maʊθ];рот, уста, отверстие
miss;[mɪs];скучать
forget;[fə(r)ˈɡɒt(ə)n];забытый
trouble;[ˈtrʌb.l̩];беда, беспокойство, неприятность
because;[bɪˈkɒz];потому что, так как, ибо
trouble;[ˈtrʌbl];беда, беспокойство, неприятность
heavy;[ˈhevi];тяжелый, сильный, густой
powerful;[ˈpaʊəfl];мощный, сильный, могущественный
interest;[ˈɪntrəst];заинтересовать, интересовать, заинтересовывать
bird;[bɜːd];птица, пташка, парень
like;[laɪk];подобно, вроде, словно
manner;[ˈmænə(r)];способ, манера, метод
whistling;[ˈwɪsl];свисток, свист, глотка
weekday;[ˈwiːk.deɪ];будний день
unusual;[ʌnˈjuːʒuəl];необычный, необыкновенный, редкий
only;[ˈəʊnli];всего, только, лишь
necktie;[ˈnek.taɪ];галстук
turn;[tɜːn];повернутый, перевернутый, перелицованный
circle;[ˈsɜːkl];круг, окружность, кружок
said;[sed];указанный, упомянутый, вышеуказанный
each;[iːtʃ];каждый, всякий
angle;[ˈæŋɡl];угол, уголок, угольник
wrestling;[ˈres.lɪŋ];борьба
hatred;[ˈheɪtrɪd];ненависть, отвращение
neither;[ˈnaɪðə(r)];ни один, никто
could;[kəd];мог
advantage;[ədˈvɑːntɪdʒ];преимущество, плюс, польза
struggle;[ˈstrʌɡl];борьба, усилие, напряжение
moved;[muːvd];взволнованный, сдвинутый


